,Keyword,Views,lang,Top 3 Pages,Class
0,FIFAWorldCup,48940000.0,en,"31790000.0: https://www.youtube.com/watch?v=kYIf8I1dvdo&pp=ygUETWV4Yw%3D%3D
12190000.0: https://www.youtube.com/watch?v=BHT6V1SpmNA&pp=ygUETWV4Yw%3D%3D
2380000.0: https://www.youtube.com/watch?v=8K-mI94l7bY&pp=ygUETWV4Yw%3D%3D",Mexc
1,FIFAWWC,48940000.0,en,"31790000.0: https://www.youtube.com/watch?v=kYIf8I1dvdo&pp=ygUETWV4Yw%3D%3D
12190000.0: https://www.youtube.com/watch?v=BHT6V1SpmNA&pp=ygUETWV4Yw%3D%3D
2380000.0: https://www.youtube.com/watch?v=8K-mI94l7bY&pp=ygUETWV4Yw%3D%3D",Mexc
2,WorldCup,48940000.0,en,"31790000.0: https://www.youtube.com/watch?v=kYIf8I1dvdo&pp=ygUETWV4Yw%3D%3D
12190000.0: https://www.youtube.com/watch?v=BHT6V1SpmNA&pp=ygUETWV4Yw%3D%3D
2380000.0: https://www.youtube.com/watch?v=8K-mI94l7bY&pp=ygUETWV4Yw%3D%3D",Mexc
3,Mexico,44850000.0,en,"36320000.0: https://www.youtube.com/watch?v=5d3EuRN43bU&pp=ygUETWV4Yw%3D%3D
8260000.0: https://www.youtube.com/watch?v=OuF19EAP9E0&pp=ygUETWV4Yw%3D%3D
5660000.0: https://www.youtube.com/watch?v=H0gnSaz_fmc&pp=ygUETWV4Yw%3D%3D",Mexc
4,Shorts,36320167.0,en,"36320000.0: https://www.youtube.com/watch?v=5d3EuRN43bU&pp=ygUETWV4Yw%3D%3D
167.0: https://www.youtube.com/watch?v=6PZWW0qoRFE&pp=ygUETWV4Yw%3D%3D
0.0: https://www.youtube.com/watch?v=2sAzb3kraoQ&pp=ygUETWV4Yw%3D%3D",Mexc
5,hukam,36320000.0,fi,"36320000.0: https://www.youtube.com/watch?v=5d3EuRN43bU&pp=ygUETWV4Yw%3D%3D
0.0: https://www.youtube.com/watch?v=2sAzb3kraoQ&pp=ygUETWV4Yw%3D%3D
0.0: https://www.youtube.com/watch?v=2sAzb3kraoQ&pp=ygUETWV4Yw%3D%3D",Mexc
6,KaranAujla,36320000.0,en,"36320000.0: https://www.youtube.com/watch?v=5d3EuRN43bU&pp=ygUETWV4Yw%3D%3D
0.0: https://www.youtube.com/watch?v=2sAzb3kraoQ&pp=ygUETWV4Yw%3D%3D
0.0: https://www.youtube.com/watch?v=2sAzb3kraoQ&pp=ygUETWV4Yw%3D%3D",Mexc
7,mexico,32716770.0,en,"26840000.0: https://www.youtube.com/watch?v=0DQbtI52QjM&pp=ygUETWV4Yw%3D%3D
4660000.0: https://www.youtube.com/watch?v=Q4kF0lRzGnI&pp=ygUETWV4Yw%3D%3D
570000.0: https://www.youtube.com/watch?v=fgCyohn9pNk&pp=ygUETWV4Yw%3D%3D",Mexc
8,shorts,28950000.0,en,"1800000.0: https://www.youtube.com/watch?v=9CI72AvoQr4&pp=ygUFQmluZ3g%3D
310000.0: https://www.youtube.com/watch?v=N57vyoEsn5Y&pp=ygUFQmluZ3g%3D","Bingx, Mexc"
9,trending,26943914.0,en,"37000.0: https://www.youtube.com/watch?v=F6tSSDAa5Nk&pp=ygUGQml0Z2V0
27000.0: https://www.youtube.com/watch?v=B1jjqsNrKfY&pp=ygUGQml0Z2V0","Bitget, Bingx, Zoomex, Mexc"
