Keyword,Views,lang,Top 3 Pages,Class
WorldCup,48940000.0,en,"31790000.0: https://www.youtube.com/watch?v=kYIf8I1dvdo&pp=ygUETWV4Yw%3D%3D
12190000.0: https://www.youtube.com/watch?v=BHT6V1SpmNA&pp=ygUETWV4Yw%3D%3D
2380000.0: https://www.youtube.com/watch?v=8K-mI94l7bY&pp=ygUETWV4Yw%3D%3D",Mexc
FIFAWWC,48940000.0,en,"31790000.0: https://www.youtube.com/watch?v=kYIf8I1dvdo&pp=ygUETWV4Yw%3D%3D
12190000.0: https://www.youtube.com/watch?v=BHT6V1SpmNA&pp=ygUETWV4Yw%3D%3D
2380000.0: https://www.youtube.com/watch?v=8K-mI94l7bY&pp=ygUETWV4Yw%3D%3D",Mexc
FIFAWorldCup,48940000.0,en,"31790000.0: https://www.youtube.com/watch?v=kYIf8I1dvdo&pp=ygUETWV4Yw%3D%3D
12190000.0: https://www.youtube.com/watch?v=BHT6V1SpmNA&pp=ygUETWV4Yw%3D%3D
2380000.0: https://www.youtube.com/watch?v=8K-mI94l7bY&pp=ygUETWV4Yw%3D%3D",Mexc
Mexico,44850000.0,en,"36320000.0: https://www.youtube.com/watch?v=5d3EuRN43bU&pp=ygUETWV4Yw%3D%3D
8260000.0: https://www.youtube.com/watch?v=OuF19EAP9E0&pp=ygUETWV4Yw%3D%3D
5660000.0: https://www.youtube.com/watch?v=H0gnSaz_fmc&pp=ygUETWV4Yw%3D%3D",Mexc
Shorts,36320167.0,en,"36320000.0: https://www.youtube.com/watch?v=5d3EuRN43bU&pp=ygUETWV4Yw%3D%3D
167.0: https://www.youtube.com/watch?v=6PZWW0qoRFE&pp=ygUETWV4Yw%3D%3D
0.0: https://www.youtube.com/watch?v=2sAzb3kraoQ&pp=ygUETWV4Yw%3D%3D",Mexc
hukam,36320000.0,fi,"36320000.0: https://www.youtube.com/watch?v=5d3EuRN43bU&pp=ygUETWV4Yw%3D%3D
0.0: https://www.youtube.com/watch?v=2sAzb3kraoQ&pp=ygUETWV4Yw%3D%3D
0.0: https://www.youtube.com/watch?v=2sAzb3kraoQ&pp=ygUETWV4Yw%3D%3D",Mexc
KaranAujla,36320000.0,en,"36320000.0: https://www.youtube.com/watch?v=5d3EuRN43bU&pp=ygUETWV4Yw%3D%3D
0.0: https://www.youtube.com/watch?v=2sAzb3kraoQ&pp=ygUETWV4Yw%3D%3D
0.0: https://www.youtube.com/watch?v=2sAzb3kraoQ&pp=ygUETWV4Yw%3D%3D",Mexc
mexico,32716770.0,en,"26840000.0: https://www.youtube.com/watch?v=0DQbtI52QjM&pp=ygUETWV4Yw%3D%3D
4660000.0: https://www.youtube.com/watch?v=Q4kF0lRzGnI&pp=ygUETWV4Yw%3D%3D
570000.0: https://www.youtube.com/watch?v=fgCyohn9pNk&pp=ygUETWV4Yw%3D%3D",Mexc
trending,26847404.0,en,"26840000.0: https://www.youtube.com/watch?v=0DQbtI52QjM&pp=ygUETWV4Yw%3D%3D
110000.0: https://www.youtube.com/watch?v=PIV1slVBbKI&pp=ygUETWV4Yw%3D%3D
15000.0: https://www.youtube.com/watch?v=0YhdhLG_H8E&pp=ygUETWV4Yw%3D%3D",Mexc
volleyball,26840000.0,en,26840000.0: https://www.youtube.com/watch?v=0DQbtI52QjM&pp=ygUETWV4Yw%3D%3D,Mexc
hunarsidhu,26840000.0,es,26840000.0: https://www.youtube.com/watch?v=0DQbtI52QjM&pp=ygUETWV4Yw%3D%3D,Mexc
shorts,26840000.0,en,26840000.0: https://www.youtube.com/watch?v=0DQbtI52QjM&pp=ygUETWV4Yw%3D%3D,Mexc
