Keyword,Views,lang,Top 3 Pages,Class
bitcoin,595183.0,en,"110000.0: https://www.youtube.com/watch?v=aYPJU-u2J9U&pp=ygUGWm9vbWV4
98000.0: https://www.youtube.com/watch?v=qyIuoKMlaJQ&pp=ygUGWm9vbWV4
43000.0: https://www.youtube.com/watch?v=Nlcx-bd188U&pp=ygUGWm9vbWV4",Zoomex
crypto,579895.0,en,"110000.0: https://www.youtube.com/watch?v=WppIXQzCr7I&pp=ygUGWm9vbWV4
98000.0: https://www.youtube.com/watch?v=qyIuoKMlaJQ&pp=ygUGWm9vbWV4
61000.0: https://www.youtube.com/watch?v=mWW9fshejKw&pp=ygUGWm9vbWV4",Zoomex
binance,340907.0,en,"110000.0: https://www.youtube.com/watch?v=aYPJU-u2J9U&pp=ygUGWm9vbWV4
45000.0: https://www.youtube.com/watch?v=OfB231QZtwM&pp=ygUGWm9vbWV4
40000.0: https://www.youtube.com/watch?v=ZPMId-JtzHA&pp=ygUGWm9vbWV4",Zoomex
zoomex,284382.0,en,"110000.0: https://www.youtube.com/watch?v=WppIXQzCr7I&pp=ygUGWm9vbWV4
32000.0: https://www.youtube.com/watch?v=FNJwYhIrWR0&pp=ygUGWm9vbWV4
15000.0: https://www.youtube.com/watch?v=5aQgNdgViMU&pp=ygUGWm9vbWV4",Zoomex
ビットコイン,245449.0,ja,"57000.0: https://www.youtube.com/watch?v=zU6p1RbzzJU&pp=ygUGWm9vbWV4
43000.0: https://www.youtube.com/watch?v=Nlcx-bd188U&pp=ygUGWm9vbWV4
37000.0: https://www.youtube.com/watch?v=23ZRpSGW5EQ&pp=ygUGWm9vbWV4",Zoomex
仮想通貨,245191.0,zh,"57000.0: https://www.youtube.com/watch?v=zU6p1RbzzJU&pp=ygUGWm9vbWV4
43000.0: https://www.youtube.com/watch?v=Nlcx-bd188U&pp=ygUGWm9vbWV4
37000.0: https://www.youtube.com/watch?v=23ZRpSGW5EQ&pp=ygUGWm9vbWV4",Zoomex
btc,215093.0,en,"110000.0: https://www.youtube.com/watch?v=WppIXQzCr7I&pp=ygUGWm9vbWV4
32000.0: https://www.youtube.com/watch?v=FNJwYhIrWR0&pp=ygUGWm9vbWV4
22000.0: https://www.youtube.com/watch?v=IDYYWU4vMLA&pp=ygUGWm9vbWV4",Zoomex
cryptocurrency,211406.0,en,"98000.0: https://www.youtube.com/watch?v=qyIuoKMlaJQ&pp=ygUGWm9vbWV4
32000.0: https://www.youtube.com/watch?v=FNJwYhIrWR0&pp=ygUGWm9vbWV4
15000.0: https://www.youtube.com/watch?v=5aQgNdgViMU&pp=ygUGWm9vbWV4",Zoomex
Cryptocurrency,204409.0,en,"110000.0: https://www.youtube.com/watch?v=aYPJU-u2J9U&pp=ygUGWm9vbWV4
45000.0: https://www.youtube.com/watch?v=OfB231QZtwM&pp=ygUGWm9vbWV4
22000.0: https://www.youtube.com/watch?v=LLA63mFdN0w&pp=ygUGWm9vbWV4",Zoomex
ethereum,187575.0,en,"110000.0: https://www.youtube.com/watch?v=aYPJU-u2J9U&pp=ygUGWm9vbWV4
32000.0: https://www.youtube.com/watch?v=FNJwYhIrWR0&pp=ygUGWm9vbWV4
5289.0: https://www.youtube.com/watch?v=36R1dQNGlB0&pp=ygUGWm9vbWV4",Zoomex
暗号資産,182991.0,zh,"57000.0: https://www.youtube.com/watch?v=zU6p1RbzzJU&pp=ygUGWm9vbWV4
37000.0: https://www.youtube.com/watch?v=23ZRpSGW5EQ&pp=ygUGWm9vbWV4
31000.0: https://www.youtube.com/watch?v=YQFcw7ZQuOA&pp=ygUGWm9vbWV4",Zoomex
